method,time,throughput
blocking,0.1078,972705009.3
iouring,1.7422494,60185183.59
blocking,0.0751004,1396232244
iouring,1.6303205,64317169.54
blocking,0.0860296,1218854906
iouring,1.5369776,68223245.41
blocking,0.0838977,1249826872
iouring,1.5510866,67602672.86
blocking,0.0728379,1439602185
iouring,1.5196651,69000465.96
blocking,0.096375,1088016602
iouring,1.5829279,66242814.98
blocking,0.0919523,1140347767
iouring,1.819749,57622012.71
blocking,0.1568824,668383451.6
iouring,1.5615362,67150284.44
blocking,0.0749308,1399392506
iouring,1.6637729,63023986.03
blocking,0.0774033,1354691596
iouring,1.6630495,63051400.45
